mac_fill,age_score,flood_pressure
1.9,0.14,0.0
1.9,0.142,0.0
1.9,0.144,0.0
2.0,0.138,0.05
2.0,0.14,0.0
2.0,0.142,0.0
2.0,0.144,0.0
2.0,0.146,0.0
2.0,0.148,0.0
2.0,0.15,0.0
2.0,0.152,0.0
2.0,0.154,0.0
2.0,0.156,0.0
2.0,0.158,0.0
2.0,0.16,0.0
2.0,0.166,0.0
2.0,0.168,0.0
2.0,0.17,0.0
2.0,0.172,0.0
2.0,0.13,0.0
2.0,0.132,0.0
2.0,0.134,0.0
2.0,0.136,0.0
2.0,0.138,0.0
2.0,0.139,0.0
2.0,0.142,0.0
2.0,0.144,0.0
2.0,0.146,0.0
2.0,0.148,0.0
2.0,0.15,0.0
2.0,0.152,0.0
2.0,0.154,0.0
2.0,0.156,0.0
2.0,0.158,0.0
2.0,0.16,0.0
2.1,0.155,0.048
2.1,0.156,0.0
2.1,0.159,0.0
2.1,0.161,0.0
2.1,0.163,0.0
2.1,0.165,0.0
2.1,0.168,0.0
2.1,0.17,0.0
2.1,0.173,0.0
2.1,0.175,0.0
2.1,0.177,0.0
2.1,0.18,0.0
2.1,0.182,0.0
2.1,0.184,0.0
2.1,0.187,0.0
2.1,0.189,0.0
2.2,0.147,0.045
2.2,0.149,0.0
2.2,0.152,0.0
2.2,0.154,0.0
2.2,0.156,0.0
2.2,0.158,0.0
2.2,0.161,0.0
2.2,0.163,0.0
2.2,0.166,0.0
2.2,0.167,0.0
2.2,0.17,0.0
2.2,0.172,0.0
2.2,0.175,0.0
2.2,0.177,0.0
2.2,0.18,0.0
2.2,0.182,0.0
2.2,0.185,0.0
2.2,0.182,0.0
2.2,0.185,0.0
2.2,0.187,0.0
2.2,0.19,0.0
2.2,0.192,0.0
2.2,0.195,0.0
2.2,0.197,0.0
2.2,0.199,0.0
2.2,0.202,0.0
2.2,0.204,0.0
2.2,0.207,0.0
2.2,0.209,0.0
2.2,0.211,0.0
2.2,0.214,0.0
2.2,0.216,0.0
2.2,0.219,0.0
2.2,0.183,0.0
2.2,0.185,0.0
2.2,0.187,0.0
2.2,0.19,0.0
2.2,0.196,0.0
2.2,0.198,0.0
2.2,0.2,0.0
2.2,0.203,0.0
2.2,0.205,0.0
2.2,0.208,0.0
2.2,0.21,0.0
2.2,0.213,0.0
2.2,0.215,0.0
2.2,0.218,0.0
2.2,0.219,0.0
2.2,0.221,0.0
2.3,0.197,0.043
2.3,0.199,0.0
2.3,0.202,0.0
2.3,0.204,0.0
2.3,0.207,0.0
2.3,0.203,0.0
2.3,0.205,0.0
2.3,0.208,0.0
2.3,0.21,0.0
2.3,0.212,0.0
2.3,0.214,0.0
2.3,0.216,0.0
2.3,0.218,0.0
2.3,0.221,0.0
