State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
73,1,1,1,"Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
74,1,1,2,"Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
75,1,1,3,"Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
76,1,1,4,"Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
77,1,1,5,"Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
78,1,1,6,"Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
79,1,1,7,"Bin 1: [0.125, 0.250]","Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
80,1,2,0,"Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
81,1,2,1,"Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
82,1,2,2,"Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
83,1,2,3,"Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
84,1,2,4,"Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
85,1,2,5,"Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
86,1,2,6,"Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
87,1,2,7,"Bin 1: [0.125, 0.250]","Bin 2: [0.250, 0.375]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
88,1,3,0,"Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
89,1,3,1,"Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
90,1,3,2,"Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
91,1,3,3,"Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
92,1,3,4,"Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
93,1,3,5,"Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
94,1,3,6,"Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
95,1,3,7,"Bin 1: [0.125, 0.250]","Bin 3: [0.375, 0.500]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
96,1,4,0,"Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
97,1,4,1,"Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
98,1,4,2,"Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
99,1,4,3,"Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
100,1,4,4,"Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
101,1,4,5,"Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
102,1,4,6,"Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
103,1,4,7,"Bin 1: [0.125, 0.250]","Bin 4: [0.500, 0.625]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
104,1,5,0,"Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
105,1,5,1,"Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
106,1,5,2,"Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
107,1,5,3,"Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
108,1,5,4,"Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
109,1,5,5,"Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
110,1,5,6,"Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
111,1,5,7,"Bin 1: [0.125, 0.250]","Bin 5: [0.625, 0.750]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
112,1,6,0,"Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
113,1,6,1,"Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]","Bin 1: [0.125, 0.250]",0.0,0.0,0.0,0.0,EVICT
114,1,6,2,"Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]","Bin 2: [0.250, 0.375]",0.0,0.0,0.0,0.0,EVICT
115,1,6,3,"Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]","Bin 3: [0.375, 0.500]",0.0,0.0,0.0,0.0,EVICT
116,1,6,4,"Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]","Bin 4: [0.500, 0.625]",0.0,0.0,0.0,0.0,EVICT
117,1,6,5,"Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]","Bin 5: [0.625, 0.750]",0.0,0.0,0.0,0.0,EVICT
118,1,6,6,"Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]","Bin 6: [0.750, 0.875]",0.0,0.0,0.0,0.0,EVICT
119,1,6,7,"Bin 1: [0.125, 0.250]","Bin 6: [0.750, 0.875]","Bin 7: [0.875, 1.000]",0.0,0.0,0.0,0.0,EVICT
120,1,7,0,"Bin 1: [0.125, 0.250]","Bin 7: [0.875, 1.000]","Bin 0: [0.000, 0.125]",0.0,0.0,0.0,0.0,EVICT
