Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
0.0,-0.0118,-0.0153,0.0,0.0,-0.0078,-0.0098
-0.0038,-0.0118,-0.0153,0.0,0.0,-0.0078,-0.0098
-0.0038,-0.01,-0.0153,0.0,0.0,-0.0078,-0.0098
-0.0121,-0.0181,-0.0494,0.0,0.0,-0.0032,0.0047
-0.0117,-0.0181,-0.0494,0.0,0.0,-0.0032,0.0047
-0.0117,-0.0181,-0.0592,0.0,0.0,-0.0032,0.0047
-0.0117,-0.0181,-0.068,0.0,0.0,-0.0032,0.0047
-0.0117,-0.0181,-0.068,0.0,0.0,-0.0032,-0.0031
-0.0118,-0.0181,-0.068,0.0,0.0,-0.0032,-0.0031
-0.0118,-0.0181,-0.068,0.0,0.0,-0.0032,-0.0031
-0.0118,-0.0223,-0.068,0.0,0.0,-0.0032,-0.0031
-0.0118,-0.0223,-0.068,0.0,0.0,-0.0082,-0.0031
-0.0118,-0.0267,-0.068,0.0,0.0,-0.0082,-0.0031
-0.0146,-0.0267,-0.068,0.0,0.0,-0.0082,-0.0031
-0.0146,-0.0267,-0.0765,0.0,0.0,-0.0082,-0.0031
-0.0146,-0.0267,-0.0765,0.0,0.0,-0.0082,-0.0081
-0.0146,-0.0267,-0.0765,0.0,0.0,-0.0082,-0.0123
-0.0146,-0.033,-0.0765,0.0,0.0,-0.0082,-0.0123
-0.0144,-0.033,-0.0765,0.0,0.0,-0.0082,-0.0123
-0.0166,-0.033,-0.0765,0.0,0.0,-0.0082,-0.0123
-0.0166,-0.033,-0.0765,0.0,0.0,-0.0082,-0.0162
-0.0166,-0.0357,-0.0765,0.0,0.0,-0.0082,-0.0162
-0.0038,-0.01,-0.0314,0.0,0.0,-0.0078,-0.0098
-0.0038,-0.01,-0.0314,0.0,0.0,-0.0078,-0.014
-0.0038,-0.01,-0.0441,0.0,0.0,-0.0078,-0.014
